板块代码,板块名称
BK1035,美容护理
BK0475,银行
BK0436,纺织服装
BK0734,珠宝首饰
BK0427,公用事业
BK0428,电力行业
BK0477,酿酒行业
BK0725,装修装饰
BK1028,燃气
BK0438,食品饮料
BK1040,中药
BK0421,铁路公路
BK0733,包装材料
BK0476,装修建材
BK1042,医药商业
BK0474,保险
BK0456,家电行业
BK1015,能源金属
BK0539,综合行业
BK0728,环保行业
BK0450,航运港口
BK0425,工程建设
BK0726,工程咨询服务
BK0732,贵金属
BK1044,生物制品
BK1045,房地产服务
BK0546,玻璃玻纤
BK1032,风电设备
BK0464,石油行业
BK1033,电池
BK0440,家用轻工
BK0437,煤炭行业
BK0433,农牧饲渔
BK0424,水泥建材
BK0471,化纤行业
BK0458,仪器仪表
BK0479,钢铁行业
BK0485,旅游酒店
BK0422,物流行业
BK0465,化学制药
BK0470,造纸印刷
BK1027,小金属
BK1043,专业服务
BK0730,农药兽药
BK1041,医疗器械
BK0739,工程机械
BK0738,多元金融
BK0448,通信设备
BK0731,化肥行业
BK0420,航空机场
BK0538,化学制品
BK0478,有色金属
BK1029,汽车整车
BK0910,专用设备
BK0484,贸易行业
BK1046,游戏
BK0473,证券
BK0736,通信服务
BK0740,教育
BK0457,电网设备
BK1020,非金属材料
BK0545,通用设备
BK1019,化学原料
BK0459,电子元件
BK0451,房地产开发
BK1034,电源设备
BK0454,塑料制品
BK0729,船舶制造
BK0481,汽车零部件
BK1038,光学光电子
BK1037,消费电子
BK0735,计算机设备
BK1018,橡胶制品
BK1031,光伏设备
BK0727,医疗服务
BK1039,电子化学品
BK1030,电机
BK0486,文化传媒
BK1016,汽车服务
BK0480,航天航空
BK0737,软件开发
BK1017,采掘行业
BK0447,互联网服务
BK0429,交运设备
BK0482,商业百货
BK1036,半导体
