日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,code,name
2025-05-08,873169,17.5,23.32,23.32,17.45,219259,467763735.72,32.72,29.99,5.38,43.15,873169,七丰精工
2025-05-08,300091,2.54,3.04,3.04,2.53,1897475,546968124.84,20.16,20.16,0.51,13.43,300091,金通灵
2025-05-08,300032,5.03,5.92,5.92,5.03,1926391,1057933522.71,18.05,20.08,0.99,23.98,300032,金龙机电
2025-05-08,688556,8.9,10.73,10.73,8.9,443236,453294898.0,20.47,20.02,1.79,8.11,688556,高测股份
2025-05-08,688552,25.51,30.7,30.7,25.02,298223,838254747.0,22.2,20.02,5.12,35.51,688552,航天南湖
2025-05-08,301317,22.73,27.29,27.29,22.63,139153,359874021.25,20.49,20.01,4.55,31.06,301317,鑫磊股份
2025-05-08,300994,18.38,19.73,19.73,18.26,199781,382187968.15,8.94,20.01,3.29,17.12,300994,久祺股份
2025-05-08,302132,70.0,83.2,83.2,69.34,950116,7235590609.66,19.99,20.01,13.87,16.08,302132,中航成飞
2025-05-08,688448,29.9,33.76,33.76,29.3,66497,217911666.0,15.85,20.01,5.63,13.86,688448,磁谷科技
2025-05-08,300379,4.85,5.76,5.76,4.73,1313742,710358292.88,21.46,20.0,0.96,24.95,300379,*ST东通
2025-05-08,300960,20.1,23.4,23.4,19.73,95294,207180277.24,18.82,20.0,3.9,7.32,300960,通业科技
2025-05-08,300581,11.97,13.99,13.99,11.62,1402171,1754863889.77,20.33,19.98,2.33,25.49,300581,晨曦航空
2025-05-08,300095,8.92,9.74,9.74,8.87,1090125,1015920338.52,10.71,19.95,1.62,32.18,300095,华伍股份
2025-05-08,871642,18.5,23.21,24.02,17.88,348588,696593578.94,31.28,18.24,3.58,34.61,871642,通易航天
2025-05-08,838810,20.59,24.85,27.0,20.5,160654,375119324.71,30.78,17.66,3.73,36.04,838810,春光智能
2025-05-08,300946,35.25,40.8,42.14,34.9,120634,468069867.76,20.54,15.78,5.56,21.35,300946,恒而达
2025-05-08,301209,90.0,107.16,111.24,88.95,79958,809332806.0,24.05,15.6,14.46,32.64,301209,联合化学
2025-05-08,300502,96.5,107.95,109.6,96.5,965723,10028081835.58,13.91,14.6,13.75,15.32,300502,新易盛
2025-05-08,300897,26.4,30.83,31.49,26.3,90882,263903938.36,19.19,13.97,3.78,14.44,300897,山科智能
2025-05-08,301302,21.69,24.53,24.53,21.68,139029,320977591.85,13.15,13.15,2.85,16.5,301302,华如科技
